genre,title,href,author,author_href,difficulty,raiting
Edutainment,The Second Battle of Bull Run,https://chooseyourstory.com/story/The_Second_Battle_of_Bull_Run.aspx,Lurkinator,https://chooseyourstory.com/member/?Username=Lurkinator,4,3.42
Edutainment,The Spanish Armada,https://chooseyourstory.com/story/The_Spanish_Armada.aspx,Will11,https://chooseyourstory.com/member/?Username=Will11,5,5.31
Edutainment,The Troubles,https://chooseyourstory.com/story/The_Troubles.aspx,lenincloset,https://chooseyourstory.com/member/?Username=lenincloset,8,3.43
Edutainment,Three Hundred Thousand Tears,https://chooseyourstory.com/story/Three_Hundred_Thousand_Tears.aspx,Crescentstar,https://chooseyourstory.com/member/?Username=Crescentstar,6,5.96
Edutainment,Timewarp - Ancient times,https://chooseyourstory.com/story/Timewarp_-_Ancient_times_.aspx,Stratego,https://chooseyourstory.com/member/?Username=Stratego,5,4.78
Edutainment,Underground to Canada,https://chooseyourstory.com/story/Underground_to_Canada.aspx,Omni123,https://chooseyourstory.com/member/?Username=Omni123,3,4.04
Edutainment,USA State Capitals - With Zombies!,https://chooseyourstory.com/story/USA_State_Capitals_-_With_Zombies!.aspx,Bucky,https://chooseyourstory.com/member/?Username=Bucky,5,4.74
Edutainment,Vocab 1,https://chooseyourstory.com/story/Vocab_1.aspx,Mrmcclanahan,https://chooseyourstory.com/member/?Username=Mrmcclanahan,2,3.49
Edutainment,Waiting for the (Trump) Train,https://chooseyourstory.com/story/Waiting_for_the_(Trump)_Train.aspx,WouldntItBeNice,https://chooseyourstory.com/member/?Username=WouldntItBeNice,2,3.77
Edutainment,Your Life as a Genetic Engineer!,https://chooseyourstory.com/story/Your_Life_as_a_Genetic_Engineer!.aspx,franke,https://chooseyourstory.com/member/?Username=franke,4,3.32
Fan Fiction,1984: Cog In The Machine,https://chooseyourstory.com/story/1984_0x3a__Cog_In_The_Machine.aspx,Hector971,https://chooseyourstory.com/member/?Username=Hector971,1,3.24
Fan Fiction,99 Problems but a Girl Ain't One,https://chooseyourstory.com/story/99_Problems_but_a_Girl_Ain't_One.aspx,DBNB,https://chooseyourstory.com/member/?Username=DBNB,3,5.62
Fan Fiction,A Dog's Life,https://chooseyourstory.com/story/A_Dog's_Life.aspx,CapturedNecko22,https://chooseyourstory.com/member/?Username=CapturedNecko22,2,5.47
Fan Fiction,About Darius and the Desert God,https://chooseyourstory.com/story/About_Darius_and_the_Desert_God.aspx,WouldntItBeNice,https://chooseyourstory.com/member/?Username=WouldntItBeNice,4,4.73
Fan Fiction,Actual Cannibal The Beouf,https://chooseyourstory.com/story/Actual_Cannibal_The_Beouf.aspx,Deejster,https://chooseyourstory.com/member/?Username=Deejster,3,3.95
Fan Fiction,Afraid of Monsters: The Loose End,https://chooseyourstory.com/story/Afraid_of_Monsters_0x3a__The_Loose_End.aspx,LeBlorqo,https://chooseyourstory.com/member/?Username=LeBlorqo,4,3.90
